Identity,Gender,Born_USA?,Ethnicity,Name_Change?,Genre=drama,Birth,Final,Alive,?Films,?FourStar_Films,?Wins,?Noms,FirstFilm_Year,FirstWin_Year,FirstNom_Year
1,Male,Yes,White,No,Yes,1913,1969,No,4,2,0,0,1954,,
2,Male,Yes,White,No,No,1921,2001,Yes,37,4,0,0,1972,,
3,Male,Yes,White,No,Yes,1962,2001,Yes,38,6,0,0,1980,,
4,Male,Yes,White,Yes,No,1929,2001,Yes,45,1,0,0,1959,,
5,Male,Yes,White,No,Yes,1934,1986,No,8,2,0,1,1969,,1984
6,Male,Yes,White,No,Yes,1890,1963,No,139,23,0,1,1916,,1931
7,Female,Yes,White,No,Yes,1909,1978,No,16,1,0,0,1935,,
8,Female,Yes,White,No,Yes,1906,1974,No,85,20,0,4,1929,,1942
9,Male,No,White,No,Yes,1899,1972,No,123,20,0,2,1932,,1936
10,Male,Yes,White,No,No,1894,1972,No,29,2,0,0,1933,,
11,Male,Yes,White,No,Yes,1927,1975,No,15,3,0,0,1964,,
12,Male,Yes,White,No,Yes,1940,2001,Yes,31,16,1,8,1969,1992,1972
13,Male,Yes,White,No,No,1934,2001,Yes,62,12,0,2,1957,,1966
14,Male,No,White,No,Yes,1934,2001,Yes,58,17,0,1,1960,,1968
15,Male,No,White,No,Yes,1909,1961,No,24,4,0,0,1936,,
16,Male,No,White,No,Yes,1867,1952,No,38,7,0,1,1922,,1940
17,Male,Yes,White,Yes,No,1947,2001,Yes,17,7,0,1,1974,,1987
18,Male,No,White,No,Yes,1936,2001,Yes,42,15,0,5,1960,,1963
19,Male,No,White,Yes,No,1914,2000,No,61,19,1,4,1934,1957,1952
20,Male,Yes,White,No,No,1878,1960,No,5,2,0,0,1937,,
21,Male,No,White,No,Yes,1907,1995,No,70,11,0,1,1939,,1944
22,Female,No,White,No,Yes,1939,2001,Yes,64,5,0,0,1960,,
23,Male,No,White,No,Yes,1916,1987,No,55,9,0,0,1946,,
24,Male,No,White,No,No,1904,1957,No,22,4,0,0,1943,,
25,Female,Yes,Multiracial,No,Yes,1953,2001,Yes,41,5,0,1,1978,,1983
26,Male,Yes,White,No,No,1892,1977,No,7,0,0,1,1923,,1932
27,Female,Yes,White,Yes,Yes,1938,2001,Yes,20,1,0,1,1968,,1970
28,Female,Yes,White,No,Yes,1892,1939,No,74,8,1,2,1914,1937,1936
29,Female,Yes,White,No,No,1926,2001,Yes,22,2,0,0,1954,,
30,Female,Yes,White,No,Yes,1899,1991,No,44,13,0,1,1931,,1944
31,Female,No,White,No,No,1946,2001,Yes,19,2,0,0,1976,,
32,Female,Yes,White,No,No,1888,1974,No,86,15,0,0,1940,,
33,Female,Yes,White,Yes,Yes,1931,1989,No,21,7,0,0,1950,,
34,Female,No,White,No,Yes,1962,2001,Yes,19,3,0,0,1985,,
35,Female,Yes,White,No,Yes,1957,2001,Yes,41,7,0,0,1981,,
36,Female,Yes,White,No,Yes,1953,2001,Yes,27,5,0,1,1975,,1983
37,Female,Yes,White,No,Yes,1951,2001,Yes,33,6,0,1,1981,,1985
38,Female,Yes,White,No,Yes,1950,2001,Yes,30,6,0,0,1976,,
39,Male,No,White,Yes,Yes,1909,1978,No,52,8,0,0,1938,,
40,Male,Yes,Multiracial,No,No,1962,2001,Yes,14,3,0,0,1989,,
41,Female,Yes,White,No,Yes,1916,1974,No,35,3,0,0,1940,,
42,Female,Yes,White,Yes,Yes,1914,1974,No,14,1,0,1,1935,,1937
43,Male,No,White,No,Yes,1907,1988,No,31,5,0,0,1937,,
44,Male,No,Hispanic,Yes,Yes,1956,2001,Yes,27,3,0,1,1968,,1988
45,Female,Yes,Multiracial,No,Yes,1958,2001,Yes,28,9,0,1,1985,,1993
46,Female,Yes,White,No,No,1923,1978,No,23,1,0,0,1944,,
47,Female,No,White,No,Yes,1925,2001,Yes,66,18,0,3,1944,,1944
48,Female,Yes,Middle Eastern,No,Yes,1951,2001,Yes,41,13,1,3,1969,1985,1982
49,Female,Yes,White,No,Yes,1928,2001,Yes,33,3,0,1,1944,,1945
50,Female,No,White,No,Yes,1890,1961,No,14,3,0,0,1951,,
51,Female,Yes,White,No,Yes,1914,2000,No,173,24,0,0,1970,,
52,Female,Yes,White,Yes,Yes,1901,1981,No,41,4,0,1,1929,,1931
53,Female,No,White,No,No,1941,2001,Yes,48,7,0,2,1961,,1971
54,Female,No,White,No,Yes,1918,2001,Yes,18,4,0,0,1937,,
55,Female,Yes,White,No,Yes,1891,1978,No,44,9,0,0,1933,,
56,Female,Yes,White,Yes,No,1912,2001,No,79,6,0,1,1927,,1987
57,Female,No,White,No,Yes,1909,1993,No,69,12,0,0,1931,,
58,Female,Yes,White,No,Yes,1899,1959,No,28,1,0,0,1933,,
59,Female,No,White,No,Yes,1907,1973,No,33,7,1,2,1941,1955,1955
60,Female,No,White,No,Yes,1982,2001,Yes,5,2,1,1,1993,1993,1993
61,Female,Yes,White,No,Yes,1947,2001,Yes,39,1,0,1,1972,,1987
62,Female,Yes,White,Yes,Yes,1931,2001,Yes,59,8,1,5,1952,1962,1962
63,Female,Yes,White,No,Yes,1923,1985,No,71,12,1,2,1940,1946,1946
64,Female,Yes,White,No,Yes,1930,2001,Yes,78,14,0,0,1947,,
65,Female,Yes,White,Yes,No,1893,1971,No,54,8,0,0,1935,,
66,Female,Yes,White,No,Yes,1928,1988,No,36,3,0,1,1972,,1987
67,Female,Yes,White,No,Yes,1903,1990,No,42,8,1,3,1934,1945,1943
68,Female,Yes,White,Yes,Yes,1918,1993,No,53,7,0,1,1925,,1937
69,Female,Yes,White,No,Yes,1958,2001,Yes,19,3,0,2,1986,,1990
70,Female,No,White,Yes,Yes,1932,2001,Yes,55,5,0,1,1948,,1966
